FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y
25,15,2013.5883590462834,1187.9894810659187,923.8260196905767,1120.98776371308,1489.419266055046,1090.5532110091742,2252.5941064638782,1015.4344106463878,1746.255985267035,982.5073664825046,1967.7202655107017,841.3637225684097,1042.5462287104622,646.0985401459855,2149.628745837958,581.3468368479467,1981.1761433868974,434.94746600741655,1014.5855745721271,351.8630806845965,272.4284903518729,345.4807037457434,701.4496321448784,328.46151669496317,1026.0564102564103,283.6589743589743,959.5978670012547,238.21392722710152,1316.0253807106599,47.8832487309644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,15,2011.9821260583255,1224.4891815616181,925.2292316416218,1157.3851715338815,1490.2228360957643,1126.756906077348,2252.5193798449613,1051.781007751938,1746.8496240601503,1018.2471804511279,1966.8251700680273,880.0172789115646,1046.1079295154184,684.3392070484582,2149.9552401746723,619.061135371179,1982.1846733668342,473.2638190954774,1017.3451219512195,389.64146341463413,271.2052752293578,383.22362385321105,703.4362068965518,366.50747126436784,1028.2490297542045,321.23609314359635,962.3439086294417,276.90736040609136,1317.6890812250333,84.65179760319575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,15,2010.4181034482758,1260.77969348659,926.7431113662457,1193.866245694604,1490.7698863636363,1162.8939393939395,2252.302348336595,1088.1996086105676,1747.47990430622,1053.8674641148325,1965.8761720904579,918.442636514065,1049.7412060301508,721.3251256281407,2150.243040685225,656.8083511777302,1983.169677419355,511.62774193548387,1020.4309494451295,427.8131935881628,270.09929078014187,420.9976359338061,705.4148936170212,404.6235224586288,1030.589709762533,358.957783641161,965.3028350515464,315.70618556701027,1319.2963988919666,121.7839335180056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,15,928.2946377638334,1229.8559612093554,1491.4136960600376,1198.734521575985,2252.1702127659573,1124.36750483559,1748.0094161958568,1089.2570621468926,1964.8011487964989,956.7136214442013,1053.3900675024108,759.1190935390549,2150.4227005870844,694.1947162426615,1984.256157635468,550.0369458128079,1023.3172169811321,465.91627358490564,268.8264367816092,458.82298850574716,707.1678200692041,442.91637831603225,1032.8573264781492,396.5874035989717,968.3356164383562,354.18119551681195,1321.190159574468,158.51728723404244,1976.28125,35.78406249999989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,14,1491.8651685393259,1234.2003745318352,2251.7765335929894,1160.23417721519,1748.501893939394,1124.5407196969697,1963.6819429198683,994.9541712403952,1057.0225988700565,796.1647834274953,2150.5413533834585,731.4746240601504,1985.2938021454113,588.261620977354,1026.5605355064029,503.9318975552968,267.72919042189284,496.476054732041,708.94859276278,481.0048822515796,1035.396070975919,434.13498098859316,971.2475247524752,392.8898514851485,1322.8035479632063,195.48291721419196,1977.5483167082293,74.7699501246882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,15,1492.410037878788,1269.621212121212,2251.2605083088956,1195.9349951124145,1748.902462121212,1159.8001893939395,1962.4799670691548,1033.0060373216247,1060.6185958254268,833.6499051233396,2150.625340599455,768.6943687556767,1986.3166089965398,626.7560553633218,1029.6962833914054,541.9216027874564,266.59183673469386,534.3673469387755,710.8022323983972,519.2258156840297,1037.8002512562814,471.8115577889447,974.3216957605985,431.647132169576,1324.570773263434,232.38466579292276,1978.8104095029696,113.6728665207877,1598.2969598262757,54.309446254071645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,14,2250.7852912142152,1231.525666337611,1749.2844254510921,1194.6063627730296,1961.2114112458655,1070.941289966924,1064.3116760828625,870.9821092278719,2150.4809782608695,805.991847826087,1987.3597826086957,665.1021739130434,1032.9021352313168,579.8724792408067,265.58476517754866,572.2628865979382,712.7548794489093,557.4644087256028,1040.3209718670078,509.4092071611253,977.2468030690537,470.38491048593346,1326.3971354166667,269.24869791666674,1980.1058897243108,152.54197994987476,1599.8984674329502,92.19020251778875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,14,2250.0954045954045,1266.8086913086913,1749.469756097561,1229.3224390243902,1959.7640134529147,1108.5709080717488,1067.8407984420642,907.9975657254138,2150.208063021316,843.1765523632994,1988.1295918367348,702.9438775510204,1036.1267166042446,617.9781523096129,264.6680376028202,610.0687426556992,714.8600471420153,595.6484973482617,1042.7483487450463,547.0759577278732,980.2242798353909,509.2256515775034,1327.9697173620457,306.04104979811575,1981.4111683295785,191.43401995494037,1601.2927170868347,130.05630252100832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,13,1748.9624765478425,1264.3030018761726,1958.320591517857,1146.2742745535713,1071.416827852998,945.2427466150871,2149.8760368663593,880.3755760368663,1988.8508771929824,741.0701754385965,1039.1983173076924,656.7127403846154,263.78748590755356,648.1257046223225,716.8612233121754,634.2634160415464,1045.197860962567,584.8302139037434,983.1492220650637,548.1803394625177,1329.7476943346508,343.03886693017125,1982.7192530585962,230.45846748229224,1602.8442896935933,168.01309192200551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,12,1956.8848518725545,1183.543040804919,1075.0495668912415,982.1794995187681,2149.5236148955496,917.4227974568573,1989.5554511278197,778.7274436090225,1042.0176715176715,695.3284823284823,263.27916666666664,686.075,719.0220159151194,673.3514588859416,1047.6936339522547,622.7175066312998,985.9485714285714,587.0814285714285,1331.6116816431322,379.91206675224646,1983.96688,269.3412800000001,1604.3415240198785,205.96548868028708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
