FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y
226,3,734.8394495412844,798.8975535168196,585.5485436893204,582.0388349514564,1490.264423076923,402.6730769230769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
227,3,735.5361445783133,837.4186746987953,585.7995391705069,620.2327188940092,1491.0181818181818,440.54090909090905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
228,4,736.3157894736842,875.6812865497076,586.1120689655172,658.7112068965517,1491.5892857142858,478.45982142857144,852.1637554585153,32.46943231441037,NaN,NaN,NaN,NaN,NaN,NaN
229,5,737.0395894428152,914.0630498533724,586.4464882943143,697.1153846153846,1492.3968609865472,516.4641255605382,852.5877192982456,71.06140350877195,120.43846153846154,14.926923076923003,NaN,NaN,NaN,NaN
230,5,738.0292397660819,952.1081871345029,586.9537037037037,734.7808641975308,1493.02466367713,554.4596412556053,853.140350877193,109.4824561403509,120.25097276264592,52.550583657587595,NaN,NaN,NaN,NaN
231,5,738.9204204204204,990.1156156156156,587.5527950310559,772.7670807453416,1493.7995169082126,592.3357487922706,853.6981132075472,148.11320754716985,120.07831325301204,90.17871485943783,NaN,NaN,NaN,NaN
232,5,739.7921686746988,1027.9186746987953,588.1975308641976,810.8333333333333,1494.2254901960785,630.3970588235294,854.1086956521739,186.90579710144925,119.59387755102041,127.85918367346949,NaN,NaN,NaN,NaN
233,5,740.8934911242603,1065.6686390532545,588.8170731707318,848.7286585365854,1494.8361344537816,668.6764705882352,854.6851851851852,225.48148148148152,119.31349206349206,165.3690476190477,NaN,NaN,NaN,NaN
234,5,741.9216867469879,1103.0090361445782,589.5757575757576,886.5060606060606,1495.474358974359,706.5673076923077,855.3603603603603,263.9234234234234,119.13636363636364,203.0533596837945,NaN,NaN,NaN,NaN
235,5,743.1023738872403,1140.253709198813,590.4671641791044,924.2313432835821,1496.0525525525525,744.3798798798799,855.8022222222222,302.64666666666665,118.76254826254826,240.80888030888036,NaN,NaN,NaN,NaN
